seq,uptime_ms,status_flags,legacy_sample,status
16557,1655870,0,,OK
16558,1655970,0,,OK
16559,1656070,0,,OK
16560,1656170,0,,OK
16561,1656270,0,,OK
16562,1656370,0,,OK
16563,1656470,0,,OK
16564,1656570,0,,OK
16565,1656670,0,,OK
16566,1656770,0,,OK
16567,1656870,0,,OK
16568,1656970,0,,OK
16569,1657070,0,,OK
16570,1657170,0,,OK
16571,1657270,0,,OK
16572,1657370,0,,OK
16573,1657470,0,,OK
16574,1657570,0,,OK
16575,1657670,0,,OK
16576,1657770,0,,OK
16577,1657870,0,,OK
16578,1657970,0,,OK
16579,1658070,0,,OK
16580,1658170,0,,OK
16581,1658270,0,,OK
16582,1658370,0,,OK
16583,1658470,0,,OK
16584,1658570,0,,OK
16585,1658670,0,,OK
16586,1658770,0,,OK
16587,1658870,0,,OK
16588,1658970,0,,OK
16589,1659070,0,,OK
16590,1659170,0,,OK
16591,1659270,0,,OK
16592,1659370,0,,OK
16593,1659470,0,,OK
16594,1659570,0,,OK
16595,1659670,0,,OK
16596,1659770,0,,OK
16597,1659870,0,,OK
16598,1659970,0,,OK
16599,1660070,0,,OK
16600,1660170,0,,OK
16601,1660270,0,,OK
16602,1660370,0,,OK
16603,1660470,0,,OK
16604,1660570,0,,OK
16605,1660670,0,,OK
16606,1660770,0,,OK
16607,1660870,0,,OK
16608,1660970,0,,OK
16609,1661070,0,,OK
16610,1661170,0,,OK
16611,1661270,0,,OK
16612,1661370,0,,OK
16613,1661470,0,,OK
16614,1661570,0,,OK
16615,1661670,0,,OK
16616,1661770,0,,OK
16617,1661870,0,,OK
16618,1661970,0,,OK
16619,1662070,0,,OK
16620,1662170,0,,OK
16621,1662270,0,,OK
16622,1662370,0,,OK
16623,1662470,0,,OK
16624,1662570,0,,OK
16625,1662670,0,,OK
16626,1662770,0,,OK
16627,1662870,0,,OK
16628,1662970,0,,OK
16629,1663070,0,,OK
16630,1663170,0,,OK
16631,1663270,0,,OK
16632,1663370,0,,OK
16633,1663470,0,,OK
16634,1663570,0,,OK
16635,1663670,0,,OK
16636,1663770,0,,OK
16637,1663870,0,,OK
16638,1663970,0,,OK
16639,1664070,0,,OK
16640,1664170,0,,OK
16641,1664270,0,,OK
16642,1664370,0,,OK
16643,1664470,0,,OK
16644,1664570,0,,OK
16645,1664670,0,,OK
16646,1664770,0,,OK
16647,1664870,0,,OK
16648,1664970,0,,OK
16649,1665070,0,,OK
16650,1665170,0,,OK
16651,1665270,0,,OK
16652,1665370,0,,OK
16653,1665470,0,,OK
16654,1665570,0,,OK
16655,1665670,0,,OK
16656,1665770,0,,OK
16657,1665870,0,,OK
16658,1665970,0,,OK
16659,1666070,0,,OK
16660,1666170,0,,OK
16661,1666270,0,,OK
16662,1666370,0,,OK
16663,1666470,0,,OK
16664,1666570,0,,OK
16665,1666670,0,,OK
16666,1666770,0,,OK
16667,1666870,0,,OK
16668,1666970,0,,OK
16669,1667070,0,,OK
16670,1667170,0,,OK
16671,1667270,0,,OK
16672,1667370,0,,OK
16673,1667470,0,,OK
16674,1667570,0,,OK
16675,1667670,0,,OK
16676,1667770,0,,OK
16677,1667870,0,,OK
16678,1667970,0,,OK
16679,1668070,0,,OK
16680,1668170,0,,OK
16681,1668270,0,,OK
16682,1668370,0,,OK
16683,1668470,0,,OK
16684,1668570,0,,OK
16685,1668670,0,,OK
16686,1668770,0,,OK
16687,1668870,0,,OK
16688,1668970,0,,OK
16689,1669070,0,,OK
16690,1669170,0,,OK
16691,1669270,0,,OK
16692,1669370,0,,OK
16693,1669470,0,,OK
